school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,students_count,free_discounted_lunch_pct,schooldigger_url,business_fit,business_fit_reason,notes
Innovation Montessori Ocoee,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 654-2045,cathy@innovationmontessori.com,"1644 N Lakewood Ave, Ocoee, FL 34761",Ocoee,Orange,K-12,YES,YES,YES,VALID,919,20.3,https://www.schooldigger.com/go/FL/schools/0144007955/school.aspx,GOOD_MATCH,students=919>=200; lunch=20.3%<=45%,"Principal: Cathy Tobin. Source: FLDOE Charter School Portal, Orange County list."
Mater Academy Narcoossee,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(321) 677-1727,Monica.cueto@ocps.net,"8315 Academy Dr, Orlando, FL 32827",Orlando,Orange,K-8,YES,YES,YES,VALID,1096,41.1,https://www.schooldigger.com/go/FL/schools/0144009025/school.aspx,GOOD_MATCH,students=1096>=200; lunch=41.1%<=45%,"Principal: Monica Cueto. Source: FLDOE Charter School Portal, Orange County list."
Oakland Avenue Charter,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 877-2039,pdwyer@oaklandfl.org,"456 E Oakland Ave, Oakland, FL 34760",Oakland,Orange,K-5,YES,YES,YES,VALID,519,17.9,https://www.schooldigger.com/go/FL/schools/0144004115/school.aspx,GOOD_MATCH,students=519>=200; lunch=17.9%<=45%,"Principal: Pamela Dwyer. Source: FLDOE Charter School Portal, Orange County list."
Orlando Science Charter School K-8,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 299-6595,Adam.Akpinar@orlandoscience.org,"10250 University Blvd, Orlando, FL 32817",Orlando,Orange,K-8,YES,YES,YES,VALID,626,9.6,https://www.schooldigger.com/go/FL/schools/0144010793/school.aspx,GOOD_MATCH,students=626>=200; lunch=9.6%<=45%,"Principal: Adam Akpinar. Source: FLDOE Charter School Portal, Orange County list."
Orlando Science Elementary Charter,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 299-6595,Michael.Singleton@ocps.net,"2611 Technology Dr, Orlando, FL 32804",Orlando,Orange,K-5,YES,YES,YES,VALID,721,24.4,https://www.schooldigger.com/go/FL/schools/0144008215/school.aspx,GOOD_MATCH,students=721>=200; lunch=24.4%<=45%,"Principal: Michael Singleton. Source: FLDOE Charter School Portal, Orange County list."
Pinecrest Academy Avalon,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 432-5441,info@pinecrestavalonk5.com,"13993 Mailer Blvd, Orlando, FL 32828",Orlando,Orange,K-5,YES,YES,YES,VALID,498,32.9,https://www.schooldigger.com/go/FL/schools/0144008652/school.aspx,GOOD_MATCH,students=498>=200; lunch=32.9%<=45%,"Principal: Jessica Brown. Source: FLDOE Charter School Portal, Orange County list."
Pinecrest Preparatory Charter,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 856-8359,Desiree.Lumpuy@ocps.net,"8503 Daetwyler Dr, Orlando, FL 32827",Orlando,Orange,K-8,YES,YES,YES,VALID,296,39.2,https://www.schooldigger.com/go/FL/schools/0144007931/school.aspx,GOOD_MATCH,students=296>=200; lunch=39.2%<=45%,"Principal: Desiree Lumpuy. Source: FLDOE Charter School Portal, Orange County list."
UCP Bailes Community Academy,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 852-3300,donna.darby@ocps.net,"4780 Data Ct, Orlando, FL 32817",Orlando,Orange,K-8,YES,YES,YES,VALID,469,38.2,https://www.schooldigger.com/go/FL/schools/0144008941/school.aspx,GOOD_MATCH,students=469>=200; lunch=38.2%<=45%,"Principal: Donna Darby. Source: FLDOE Charter School Portal, Orange County list."
UCP Pine Hills Charter,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 852-3300,James.oliver@ucpcfl.org,"5800 Golf Club Pkwy, Orlando, FL 32808",Orlando,Orange,PK-5,YES,YES,YES,VALID,204,4.4,https://www.schooldigger.com/go/FL/schools/0144004114/school.aspx,GOOD_MATCH,students=204>=200; lunch=4.4%<=45%,"Principal: James Oliver. Source: FLDOE Charter School Portal, Orange County list."
UCP West Orange Charter,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 852-3300,Mischa.king@ocps.net,"1441 Winter Garden-Vineland Rd, Orlando, FL 34787",Orlando,Orange,PK-5,YES,YES,YES,VALID,312,43.9,https://www.schooldigger.com/go/FL/schools/0144008474/school.aspx,GOOD_MATCH,students=312>=200; lunch=43.9%<=45%,"Principal: Mischa King. Source: FLDOE Charter School Portal, Orange County list."
