school_name,school_type,address,city,county,phone,grades_raw,source_system,source_url,rejection_reason,status
Park School,private,"1600 S ORLANDO AVE., WINTER PARK, FL 32789",Winter Park,Orange,(407) 863-1977,01-09,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '01-09' does not include any grade in K-5 range,rejected
Pathways For Life Academy,private,"1450 CITRUS OAKS AVENUE, GOTHA, FL 34734",Gotha,Orange,(407) 444-1844,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
Planet Learning Academy Inc,private,"1335 FLORIDA MALL AVE, ORLANDO, FL 32809",Orlando,Orange,(407) 858-4550,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
Precious Creations,private,"217 N. KIRKMAN ROAD, ORLANDO, FL 32811",Orlando,Orange,(407) 286-6219,K-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-05' does not include any grade in K-5 range,rejected
Premier Academy Of Gotha Llc,private,"9380 GOTHA RD, WINDERMERE, FL 34786",Windermere,Orange,(407) 290-3277,PK-01,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-01' does not include any grade in K-5 range,rejected
Primrose School Of Hunter'S Creek,private,"5741 TOWN CENTER BLVD, ORLANDO, FL 32837",Orlando,Orange,(407) 251-2771,PK-PK,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-PK' does not include any grade in K-5 range,rejected
Prisma Learning Inc.,private,"450 SOUTH ORANGE AVE FLOOR 3, ORLANDO, FL 32801",Orlando,Orange,(650) 855-2313,04-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '04-12' does not include any grade in K-5 range,rejected
Saint Andrew Catholic School,private,"877 N. HASTINGS STREET, ORLANDO, FL 32808",Orlando,Orange,(407) 295-4230,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Saint Charles Borromeo Parish School,private,"4005 EDGEWATER DRIVE, ORLANDO, FL 32804",Orlando,Orange,(407) 293-7691,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Saint John Vianney School,private,"6200 S ORANGE BLOSSOM TRAIL, ORLANDO, FL 32809",Orlando,Orange,(407) 855-4660,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Saint Margaret Mary,private,"142 E SWOOPE, WINTER PARK, FL 32789-3298",Winter Park,Orange,(407) 644-7537,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Silver Lining Learning Academy Aba,private,"495 N SEMORAN BLVD STE 190, WINTER PARK, FL 32792",Winter Park,Orange,(407) 279-1061,01-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '01-08' does not include any grade in K-5 range,rejected
Smarty Pants Academy,private,"5389 CONROY RD, ORLANDO, FL 32811",Orlando,Orange,(407) 757-0974,K-02,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-02' does not include any grade in K-5 range,rejected
Spotlight Scholars,private,"954 LAKE BALDWIN LANE, ORLANDO, FL 32814",Orlando,Orange,(614) 812-8532,K-06,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-06' does not include any grade in K-5 range,rejected
Spur Christian Academy,private,"2818 ORANGE CENTER BOULEVARD, ORLANDO, FL 32805",Orlando,Orange,(407) 776-0024,K-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-08' does not include any grade in K-5 range,rejected
St. Clement Academy Maitland Inc.,private,"1185 N. WYMORE ROAD, MAITLAND, FL 32751",Maitland,Orange,(201) 421-4348,K-04,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-04' does not include any grade in K-5 range,rejected
St. James Cathedral School,private,"505 EAST RIDGEWOOD STREET, ORLANDO, FL 32803",Orlando,Orange,(407) 841-4432,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Starchild Academy - Wekiva,private,"1550 N. WEKIWA SPRINGS ROAD, APOPKA, FL 32712-2527",Apopka,Orange,(407) 880-6060,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
Starchild Academy Winter Garden,private,"1324 WINTER GARDEN VINELAND RD, WINTER GARDEN, FL 34787",Winter Garden,Orange,(407) 877-0345,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
Starchildhc Llc,private,"12050 CRYSTAL COMMERCE WAY, ORLANDO, FL 32837",Orlando,Orange,(407) 352-0014,PK-02,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-02' does not include any grade in K-5 range,rejected
Tangerine Schoolhouse,private,"7228 EARLWOOD AVE., MOUNT DORA, FL 32757",Mount Dora,Orange,(352) 729-4816,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
The Academy Of Central Florida,private,"1865 N. ECONLOCKHATCHEE TRAIL, ORLANDO, FL 32817",Orlando,Orange,(407) 732-9358,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
The Childhood Development Center By Attain,private,"2710 STATEN RD., ORLANDO, FL 32804",Orlando,Orange,(407) 985-2779,05-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '05-12' does not include any grade in K-5 range,rejected
The Christ School,private,"106 EAST CHURCH STREET, ORLANDO, FL 32801-3390",Orlando,Orange,(407) 849-1665,K-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-08' does not include any grade in K-5 range,rejected
The King'S Academy,private,"1302 EDGEWAY DRIVE, WINTER GARDEN, FL 34787",Winter Garden,Orange,(407) 656-5665,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
The Life Academy Of Excellence Inc.,private,"107 WYMORE ROAD, EATONVILLE, FL 32751",Eatonville,Orange,(407) 622-1330,K-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-08' does not include any grade in K-5 range,rejected
Trace Academy,private,"4200 S. CHICKASAW TRAIL, ORLANDO, FL 32829",Orlando,Orange,(407) 306-0887,K-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-08' does not include any grade in K-5 range,rejected
Tri-L Christian Academy Inc.,private,"1039 W. FAIRBANKS AVENUE, ORLANDO, FL 32804",Orlando,Orange,(407) 644-2567,K-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-08' does not include any grade in K-5 range,rejected
Trinity Preparatory School,private,"5700 TRINITY PREP LANE, WINTER PARK, FL 32792",Winter Park,Orange,(407) 671-4140,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
Trinity Victorious Academy,private,"609 NORTH POWERS DR STE. 308, ORLANDO, FL 32818",Orlando,Orange,(407) 299-7784,K-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-05' does not include any grade in K-5 range,rejected
Ucp East Orange Private Academy,private,"12702 SCIENCE DRIVE, ORLANDO, FL 32826",Orlando,Orange,(850) 895-1530,PK-02,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-02' does not include any grade in K-5 range,rejected
Varyvoda Christian,private,"2610 ORANGE CENTER BLVD, ORLANDO, FL 32805",Orlando,Orange,(586) 395-9250,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
Victory Christian Academy,private,"1601 A.D. MIMS ROAD, OCOEE, FL 34761-1975",Ocoee,Orange,(407) 656-1295,K-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-08' does not include any grade in K-5 range,rejected
Virtual International Modern School,private,"3303 S. SEMORAN BLVD, ORLANDO, FL 32822",Orlando,Orange,(407) 815-7352,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
We Are One Services Llc,private,"1442 N PINE HILLS RD, ORLANDO, FL 32808",Orlando,Orange,(407) 440-4914,PK-07,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-07' does not include any grade in K-5 range,rejected
Winter Garden Christian Academy,private,"305 BEULAH RD, WINTER GARDEN, FL 34787",Winter Garden,Orange,(407) 877-7735,K-06,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-06' does not include any grade in K-5 range,rejected
Xl Academy,private,"12314 SUTTNER AVE, ORLANDO, FL 32827",Orlando,Orange,(407) 308-5500,K-06,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-06' does not include any grade in K-5 range,rejected
Xl Academy Llc,private,"825 COURTLAND ST, ORLANDO, FL 32804",Orlando,Orange,(407) 637-8077,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
Yeshiva Of Central Florida,private,"5595 PALM LAKE CIRCLE, ORLANDO, FL 32819",Orlando,Orange,(407) 536-9060,09-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '09-12' does not include any grade in K-5 range,rejected
Young Innovators Academy Winter Garden,private,"1297 WINTER GARDEN VINELAND RD, WINTER GARDEN, FL 34787",Winter Garden,Orange,(321) 274-3510,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
Young Innovators Academy Winter Park,private,"225 S INTERLACHEN AVE, WINTER PARK, FL 32789",Winter Park,Orange,(407) 495-2780,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
Access Charter,charter,,Orlando,Orange,,6-12,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,Grade range 6-12 — no elementary grades,rejected
Aloma High Charter,charter,,Winter Park,Orange,,6-12,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,Grade range 6-12 — no elementary grades,rejected
Central Florida Leadership Academy Charter,charter,,Orlando,Orange,,6-12,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,Grade range 6-12 — no elementary grades,rejected
Chancery High Charter,charter,,Orlando,Orange,,9-12,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,Grade range 9-12 — no elementary grades,rejected
Cornerstone Charter Academy High,charter,,Belle Isle,Orange,,9-12,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,Grade range 9-12 — no elementary grades,rejected
Econ River High Charter,charter,,Orlando,Orange,,6-12,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,Grade range 6-12 — no elementary grades,rejected
Innovations Middle Charter,charter,,Orlando,Orange,,6-9,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,Grade range 6-9 — no elementary grades,rejected
Legacy High Charter,charter,,Ocoee,Orange,,9-12,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,Grade range 9-12 — no elementary grades,rejected
Mater Academy Narcoossee High School,charter,,Orlando,Orange,,9-12,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,Grade range 9-12 — no elementary grades,rejected
Orlando Science Middle High Charter,charter,,Orlando,Orange,,6-12,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,Grade range 6-12 — no elementary grades,rejected
Pinecrest Collegiate Academy,charter,,Orlando,Orange,,6-12,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,Grade range 6-12 — no elementary grades,rejected
Sheeler High Charter,charter,,Apopka,Orange,,7-12,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,Grade range 7-12 — no elementary grades,rejected
Sunshine High School-Greater Orlando Campus,charter,,Orlando,Orange,,6-12,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,Grade range 6-12 — no elementary grades,rejected
UCP East Charter,charter,,Orlando,Orange,,PK,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,PreK only — no K-5 grades,rejected
UCP Transitional Learning Academy Charter,charter,,Orlando,Orange,,6-12,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,Grade range 6-12 — no elementary grades,rejected
Workforce Advantage Academy Charter,charter,,Orlando,Orange,,11-12,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,Grade range 11-12 — no elementary grades,rejected
