source_query,position,result_type,title,description,displayed_url,url,host,rejection_reason
Orange County FL charter school elementary,13,organic,Lake Eola Charter School – Tuition Free K-8 Public School In ...,Welcome to Lake Eola Charter School. We have limited openings at this time for students in Grades 3-8. If you would like to register your child now and ...Read more,https://www.lecs.org,https://www.lecs.org/,lecs.org,
Orange County FL charter school elementary,18,organic,Orange Center Elementary parents approve transition to ...,"The new charter school will provide wrap-around services, like after-school programs, early learning and healthcare. The transition began in ...Read more",https://www.cfpublic.org › education › orange-center-el...,https://www.cfpublic.org/education/2026-01-23/orange-center-elementary-parents-approve-transition-to-public-private-charter-school,cfpublic.org,
Orange County FL charter school elementary,19,organic,Orange County Classical Academy A Hillsdale College ...,"The Mission of the Orange County Classical Academy is to develop students in mind and character through a classical, content-rich liberal arts and sciences ...Read more",https://orangecountyclassicalacademy.org,https://orangecountyclassicalacademy.org/,orangecountyclassicalacademy.org,
Orange County FL K-8 school,11,organic,Orange County Public Schools - Calendars Home,K-8 Schools. Arbor Ridge K-8 · Audubon Park School · Blankner School · Kelly Park School · Lake Como School · OCPS Academic Center For Excellence · Orlando ...Read more,https://ocps.smartsiteshost.com › ...,https://ocps.smartsiteshost.com/110642_3,ocps.smartsiteshost.com,
Orange County FL K-8 school,15,organic,Schools in Orange County Public Schools,"PK, K-5, 10, View Homes · Lockhart Middle School, public, 6-8, 8, View Homes · Maitland Middle School, public, 6-8, 15, View Homes · Cypress Park Elementary ...Read more",https://www.movoto.com › schools-district › orlando-fl,https://www.movoto.com/schools-district/orlando-fl/orange-county-public-schools-1201440/,movoto.com,
Orange County FL K-8 school,16,organic,"Schools-Public Orange County in Orlando, FL","It offers enrollment to more than 1,000 students in grades kindergarten to five. It offers an academic program that focuses on reading, language arts and math ...Read more",https://local.yahoo.com › ... › Florida › Orlando,https://local.yahoo.com/info-14121916-schoolspublic-orange-county-orlando/,local.yahoo.com,
Orange County FL academy elementary school,19,organic,Orange County Public Schools Youth Academy,"As a way to help with their social and emotional growth the students are able to go on field trips, listen to various guest speakers and volunteer in the ...Read more",https://netapps.ocfl.net › OCServes › Organization,https://netapps.ocfl.net/OCServes/Organization.aspx?oid=34,netapps.ocfl.net,
Orange County FL montessori elementary,22,organic,Montessori School Of Port Orange,"Montessori School Of Port Orange holds the top school rank, offering a teacher-student 1:15 ratio and admissions to top universities.",https://www.findingschool.com › montessori-school-of-...,https://www.findingschool.com/montessori-school-of-port-orange,findingschool.com,
Orange County FL montessori elementary,23,organic,"Preschool & Childcare Center Serving Orlando, FL","A private haven of authentic Montessori learning. A 2-acre campus where your child learns, plays & grows their way to a brilliant future.Read more",https://montessoriworldschool.com › Location,https://montessoriworldschool.com/location/orlando/,montessoriworldschool.com,
Orange County FL montessori elementary,24,organic,Montessori Global,"Dr Maria Montessori. CONTACT US. Main Campus -53 N Old Kings Rd, Ormond Beach, FL 32174, USA. ​. Nest- 55 N Old Kings Rd, Ormond Beach, FL 32174. admissions ...Read more",https://www.montessoriglobalri.com,https://www.montessoriglobalri.com/,montessoriglobalri.com,
Orange County FL montessori elementary,25,organic,"Amelia Island Montessori School | Fernandina Beach, FL","AIMS is an independent, non-profit school in Fernandina Beach, Florida, offering a private education true to the original teachings of Dr. Maria Montessori.",https://www.ameliaislandmontessori.com,https://www.ameliaislandmontessori.com/,ameliaislandmontessori.com,
Orange County FL montessori elementary,26,organic,Heritage Montessori: Top-Rated Montessori Preschool ...,"Highly-Rated Montessori preschool and daycare with locations in Huntington Beach, Lake Forest and Newport Mesa. Authentic early learning education programs.",https://www.heritagemontessori.com,https://www.heritagemontessori.com/,heritagemontessori.com,
Orange County FL montessori elementary,27,organic,Montessori Elementary School in Irvine,Explore the Elementary program at LePort Montessori Irvine Spectrum North that helps students build skills for school and life.,https://www.leportschools.com › ... › Programs,https://www.leportschools.com/preschools/ca/orange-county/irvine-spectrum-north/programs/elementary/,leportschools.com,
Orange County FL montessori elementary,28,organic,Learn About Orange County's Only Public School ...,"Springbrook Elementary School is home to Orange County and IUSD's only Elementary Montessori program, which serves students in grades 1-6.",https://iusd.org › article › learn-about-orange-countys-on...,https://iusd.org/article/learn-about-orange-countys-only-public-school-montessori-program,iusd.org,
Orange County FL montessori elementary,29,organic,Foothill Montessori School,Foothill Montessori School was established in 1973 with a vision to create a school based on authentic AMI (Association Montessori International) Montessori ...Read more,https://foothillmontessorischool.com,https://foothillmontessorischool.com/,foothillmontessorischool.com,
Orange County FL christian school elementary,31,organic,Search for Private Schools - School Detail for,School Name: Central Florida Christian Academy ; NCES School ID: A1901058 ; Physical Address: 700 Good Homes Rd ; County: Orange Schools in County ; Phone: (407) ...Read more,https://nces.ed.gov › surveys › pss › school_detail,https://nces.ed.gov/surveys/pss/privateschoolsearch/school_detail.asp?Search=1&Zip=34761&Miles=20&ID=A1901058,nces.ed.gov,
Orange County FL christian school elementary,32,organic,Circle Christian Schools: Home,"At Circle, we deliver quality faith-based learning with the university-hybrid model. Students build their own schedules from a range of core and elective ...Read more",https://circlechristianschool.org,https://circlechristianschool.org/,circlechristianschool.org,
Orange County FL christian school elementary,33,organic,"Lighthouse Christian School | Jacksonville, Florida","Lighthouse Christian School is a private Christian school in Florida's First Coast, with campuses in Duval, Clay and Nassau counties. Lighthouse Christian ...Read more",https://www.lighthousechristianschool.net,https://www.lighthousechristianschool.net/,lighthousechristianschool.net,
Orange County FL christian school elementary,35,organic,Grace Christian Academy – A Quality Christian Education,"Sports, Drama, Outdoor Fun & Games, Small Friendly Classrooms, And students from kindergarten through twelfth grade who treat each other like family.Read more",https://www.gcapatriots.com,https://www.gcapatriots.com/,gcapatriots.com,
Orange County FL christian school elementary,36,organic,Stoneybrooke Christian School - Private Christian School ...,"In partnership with parents, Stoneybrooke Christian School exists to provide a distinctive, biblically-based education in a nurturing environment through ...",https://www.stoneybrooke.com,https://www.stoneybrooke.com/,stoneybrooke.com,
Orange County FL christian school elementary,37,organic,Mount Dora Christian Academy: Home,"Mount Dora Christian Academy is proud to announce that its Elementary School has been officially recognized as a 2025 National Blue Ribbon School, one of only ...Read more",https://www.mdcacademy.org,https://www.mdcacademy.org/,mdcacademy.org,
Orange County FL private K-8 school,15,organic,Sunrise Academy: Private School | Florida,"Sunrise Academy is an innovative, independent, non-sectarian school. We cater to the unique needs of our learners so that they can flourish.Read more",https://www.sunriseacademy.education,https://www.sunriseacademy.education/,sunriseacademy.education,
Orlando FL academy elementary school,22,organic,Pine Castle Christian Academy | K-12 | 7101 Lake Ellenor ...,"Pine Castle Christian Academy is a Infants-12th grade accredited, private, Christian school that has been serving Central Florida since 1983!Read more",https://www.pinecastleeagles.org,https://www.pinecastleeagles.org/,pinecastleeagles.org,
Orlando FL academy elementary school,23,organic,Elementary School: Ages 5 – 10,"OTA's elementary school experience spans Kindergarten through 5th grade. We begin with a robust focus on Kria, Chumash, and middos.Read more",https://www.orlandotorah.com › academics › grade-school,https://www.orlandotorah.com/academics/grade-school,orlandotorah.com,
Orlando FL academy elementary school,26,organic,Charter School | Central Florida Leadership Academy | Orlando,Central Florida Leadership Academy (CFLA) is a college prep charter school for students in grades 6-12. Our mission is to develop civic leaders.Read more,https://www.cflacademy.org,https://www.cflacademy.org/,cflacademy.org,
Orlando FL academy elementary school,27,organic,Saints Academy Private School - Orlando,"Saints Academy Private School 3705 N. Apopka Vineland Rd. Orlando, FL 32818 Phone: 407-683-5537 Email: office@thesaintsacademy.comRead more",https://thesaintsacademy.com,https://thesaintsacademy.com/index.html,thesaintsacademy.com,
Orange County FL lower school,21,organic,Orange County School Board approves closing seven ...,The Orange County School Board has voted to close six elementary schools and one middle school largely due to under-enrollment.,https://www.cfpublic.org › education › orange-county-s...,https://www.cfpublic.org/education/2026-03-10/orange-county-school-board-approves-closing-seven-schools,cfpublic.org,
Orange County FL lower school,22,organic,Florida School Accountability Reports,Florida School Accountability Reports · Florida School Grades – 2025 · Florida School Improvement Ratings – 2025 · School Grades Calendars · Reports – 2025.Read more,https://www.fldoe.org › accountability › school-grades,https://www.fldoe.org/accountability/accountability-reporting/school-grades/,fldoe.org,
Orange County FL lower school,30,organic,School Directory Home,School ; ACCELERATION EAST. ERIN VACCHIO. 2274 S SEMORAN BLVD · 32822. 407-992-0917 ; ACCELERATION WEST. GEORGE MORSE. 2751 LAKE STANLEY RD · 32818. 407-521-2358.Read more,https://www.ocps.net › school-directory,https://www.ocps.net/school-directory,ocps.net,
Orange County FL elementary school,11,organic,Elementary Schools in Orange County,There are 133 public Elementary schools in Orange county. Which one your children may attend is determined on where you live.Read more,https://www.zfc.com › Schools › Orange,https://www.zfc.com/schools/Orange/Elementary/,zfc.com,
Orange County FL private school elementary,22,organic,Top Private Elementary Schools Near Me in Orange County,"Private elementary schools often feature smaller class sizes, allowing teachers to tailor lessons to each student's strengths and needs. This ...Read more",https://www.pacificacademycostamesa.org › post › top-...,https://www.pacificacademycostamesa.org/post/top-private-elementary-schools-near-me,pacificacademycostamesa.org,
Orange County FL preparatory school elementary,22,organic,ORANGE COUNTY PREPARATORY ACADEMY CHARTER,"ORANGE COUNTY PREPARATORY ACADEMY CHARTER is a mid-sized elementary in ORLANDO, Florida, serving grades KG–08 with 286 students.Read more",https://www.mahadevmaitri.org › florida › orange-fl › or...,https://www.mahadevmaitri.org/us/florida/orange-fl/orange-county-preparatory-academy-charter-orlando-fl,mahadevmaitri.org,
Orange County FL preparatory school elementary,26,organic,Oxford Preparatory Academy,"Oxford Preparatory Academy is a public charter school in south Orange County serving Lake Forest, Mission Viejo, Aliso Viejo, and surrounding cities.",https://www.opaschools.org,https://www.opaschools.org/,opaschools.org,
Orange County FL preparatory school elementary,28,organic,Search For Schools and Colleges - Department of Education,"Mi. Central Florida Preparatory School 1800 Marden Rd, Apopka, FL 32703 (407) 290-8073 - Orange County.Read more",https://nces.ed.gov › globallocator › PrivSchool=1,https://nces.ed.gov/globallocator/index.asp?search=1&State=FL&city=&zipcode=32714&miles=10&itemname=&sortby=name&School=1&PrivSchool=1&College=1&Status=Search+Finished&Records=312&CS=CF14CA9,nces.ed.gov,
Orange County FL preparatory school elementary,29,organic,Elementary School,"Orlando Christian Prep's elementary department consists of 1st-5th grade. At Orlando Christian Prep, we believe that every student can learn in an environment ...Read more",https://www.orlandochristianprep.org › academics › elem...,https://www.orlandochristianprep.org/academics/elementary-school.cfm,orlandochristianprep.org,
Orange County FL preparatory school elementary,30,organic,"Orange County Preparatory Academy Charter in Orlando, FL","It enrolls 305 students in grades 1st through 12th. Orange County Preparatory Academy Charter is the 2,073rd largest public elementary school in Florida and the ...Read more",https://elementaryschools.org › directory › fl › cities,https://elementaryschools.org/directory/fl/cities/orlando/orange-county-preparatory-academy-charter/120144008418/,elementaryschools.org,
Orange County FL charter school elementary,25,organic,Hope Charter School,"1550 East Crown Point Rd. Ocoee, FL 34761. Phone: 407.656.4673. Fax: 407.264.6960. © 2017 Hope Charter School Terms & Conditions | Privacy Policy.Read more",https://www.hopecharter.org,https://www.hopecharter.org/,hopecharter.org,
Orange County FL charter school elementary,29,organic,Charter Schools,Charter Schools. Charter Schools Home · Application Instructions · Charter School FAQs · Current List of Charter Schools · District Potential Applicant ...Read more,https://www.ocps.net › charter-schools,https://www.ocps.net/charter-schools,ocps.net,
Orange County FL lower school,32,organic,Right At School: Before and After School Enrichment,"A place to be a kid! ... Welcome to Right At School — your trusted partner for before & after school programs, camps, clubs and more, all on-site at your school.Read more",https://www.rightatschool.com,https://www.rightatschool.com/,rightatschool.com,
Orange County FL lower school,35,organic,"Private School Activities Orange County, FL","Located in Orange County, Florida, The Crenshaw Academy offers students from kindergarten through 12th grade opportunities to explore their interests, develop ...Read more",https://thecrenshawacademy.com › private-school-activiti...,https://thecrenshawacademy.com/private-school-activities-orange-county-fl,thecrenshawacademy.com,
Orange County FL lower school,38,organic,Driver Improvement Schools,All course providers electronically report all Florida Department of Highway Safety and Motor Vehicles (FLHSMV)-approved school completions to the FLHSMV.Read more,https://www.flhsmv.gov › ... › Education & Courses,https://www.flhsmv.gov/driver-licenses-id-cards/education-courses/driver-improvement-schools/,flhsmv.gov,
Orange County FL lower school,39,organic,Parents weigh in as Orange County Public Schools ...,Parents are weighing in as Orange County Public Schools considers closing seven schools due to low enrollment numbers and budget costs.Read more,https://www.cfpublic.org › education › parents-weigh-i...,https://www.cfpublic.org/education/2026-01-21/parents-weigh-in-as-orange-county-public-schools-considers-closing-7-schools,cfpublic.org,
Orange County FL christian school elementary,40,organic,"Tri-L Christian Academy in Orlando, FL","Tri-L Christian Academy is a private elementary school located in Orlando, FL and enrolls 74 students in grades Kindergarten through 8th. Tri-L Christian ...Read more",https://elementaryschools.org › directory › fl › cities › t...,https://elementaryschools.org/directory/fl/cities/orlando/tri-l-christian-academy/k9301333/,elementaryschools.org,
Orange County FL christian school elementary,41,organic,Central Christian Academy,"5503 N Hiawassee Rd Orlando, FL 32818; Monday thru Friday from 8:30 am - 3:30 ... Elementary · Middle School · High School · Specialty Classes. Copyright ...Read more",http://cca.education,http://cca.education/,cca.education,
Orange County FL christian school elementary,42,organic,Daytona Beach: Private Schools Faith Based,"Calvary Christian Academy is a Christian School based in beautiful Ormond Beach, FL that is committe ... ... 1835 Taylor Road, Port Orange, FL ...Read more",https://fun4daytonakids.com › Education-Childcare › Pri...,https://fun4daytonakids.com/Education-Childcare/Private-Schools-Faith-Based/,fun4daytonakids.com,
Orange County FL christian school elementary,43,organic,Welcome to Orange County Christian School | Pioneer ...,"Encouraging the development of each student, spiritually, intellectually, academically, physically, and socially, through education.",https://www.occs.org,https://www.occs.org/,occs.org,
Orange County FL christian school elementary,44,organic,Mariners Christian School – Building a Firm Foundation ...,"Rated the best Christian school in Orange County. MCS is a co-educational, independent Christian school located in Costa Mesa, California. Established in ...Read more",https://marinerschristianschool.com,https://marinerschristianschool.com/,marinerschristianschool.com,
Orange County FL christian school elementary,45,organic,"Orlando Christian Elementary School,Orange County FL","Find Programs Today: Orlando Christian elementary school, Orange County FL. Orlando Christian Prep (OCP) in Orlando in Orange County is an accredited ...",https://www.learn4good.com › ... › Florida › Orlando,https://www.learn4good.com/schools/orlandofl-christianelementary.htm,learn4good.com,
Orange County FL christian school elementary,46,organic,Newport Christian School - Orange County Private Christian ...,"Located in Newport Beach, California, Newport Christian School is TK - 11th Grade private school, preparing and challenging students for the world.",https://newportchristianschool.org,https://newportchristianschool.org/,newportchristianschool.org,
Orange County FL christian school elementary,47,organic,Summit Charter School | Abandoned Florda,"Central FL Christian School fire The ... By 2008, the school was deeply in debt and was audited by the Orange County school district.Read more",https://abandonedfl.com › summit-charter-school,https://abandonedfl.com/summit-charter-school/,abandonedfl.com,
Orange County FL christian school elementary,48,organic,Unity Christian Academy - Christian Education,Discover our comprehensive Christian programs at Unity Christian Academy. We provide a nurturing and faith-based education for your child's academic ...,https://unityca.org,https://unityca.org/,unityca.org,
Orange County FL montessori elementary,32,organic,Financial Aid,"While we are a tuition-based school, we aim to create a socioeconomically diverse community. Read on to learn about our Financial Aid program.",https://www.orlandomontessori.com › financial-aid,https://www.orlandomontessori.com/financial-aid,orlandomontessori.com,
Orange County FL montessori elementary,33,organic,"Best Montessori Schools in Orange County, CA",1. LePort Montessori Huntington Beach · 2. Hillside Montessori School · 3. Laguna Niguel Montessori Center · 4. Village Montessori School of Irvine · 5. Montessori ...Read more,https://jenniferimus.com › best-montessori-schools-orang...,https://jenniferimus.com/best-montessori-schools-orange-county/,jenniferimus.com,
Orange County FL montessori elementary,35,organic,Montessori Bilingual School in Orange County | Ages 2–12,"Authentic Montessori education with Japanese-English bilingual programs for toddlers to grade 6. Nurturing independence, curiosity & cultural understanding.",https://monteintel.org,https://monteintel.org/,monteintel.org,
Orange County FL montessori elementary,36,organic,Innovation Montessori Ocoee,"The school offers a tuition-based casa program for children between two and a half and four years old, with a mission to provide a strong Montessori foundation.Read more",https://www.causeiq.com › Directory › Florida › Ocoee,"https://www.causeiq.com/organizations/west-orange-montessori-charter-school,900658753/",causeiq.com,
Orange County FL montessori elementary,37,organic,Montessori Institute of Broward: Bilingual Preschool located in ...,A 2.28 acre facility specifically designed to serve as the perfect learning environment for English and Spanish-speaking children ages 2 through 10.Read more,https://montessoriinstituteofbroward.com,https://montessoriinstituteofbroward.com/,montessoriinstituteofbroward.com,
Orange County FL montessori elementary,38,organic,Montessori School Locations Orange County,"Heritage Montessori's locations in Huntington Beach, Lake Forest and Newport Mesa across Orange County. Highly-rated and well regarded preschool & daycare ...",https://www.heritagemontessori.com › our-locations,https://www.heritagemontessori.com/our-locations/,heritagemontessori.com,
Orange County FL montessori elementary,39,organic,Alpha School: AI Powered Private School,"A school where kids crush academics in 2 hours, build life skills through workshops, and thrive beyond the classroom.Read more",https://alpha.school,https://alpha.school/,alpha.school,
Orange County FL montessori elementary,40,organic,"Montessori World School in Orlando, FL United States","View details about Montessori World School in Orlando, FL United States on Apple Maps. Address, driving directions, images, nearby attractions and more.",https://maps.apple.com › place,https://maps.apple.com/place?place-id=I660FC146AB3E2CC5,maps.apple.com,
Orange County FL academy elementary school,29,organic,Orange County Educational Arts Academy,"OCEAA – a TK-8th Santa Ana charter school. a dual immersion charter school in Santa Ana. address 825 N. Broadway, Santa Ana, CA 92701. Phone 714-558-2787.Read more",https://oceaa.org,https://oceaa.org/,oceaa.org,
Orlando FL lower school,11,organic,Lower School | K4-6,"At Orangewood, our lower school team is excited to work in partnership with you to equip your children to transform the world for Christ and His kingdom.Read more",https://www.orangewoodchristian.org › academics › lo...,https://www.orangewoodchristian.org/academics/lowerschool,orangewoodchristian.org,
Orlando FL lower school,19,organic,Premier Private Christian School in Downtown Orlando,"The Christ School offers a K-8 program with an individualized, Christ-centered educational experience in Downtown Orlando, Florida.",https://www.thechristschool.org,https://www.thechristschool.org/,thechristschool.org,
Orlando FL academy elementary school,34,organic,"Montverde Academy | Excellence in Education, Athletics ...","Montverde Academy is a college preparatory school that inspires students to become leaders with a passion for knowledge, global vision, and innovation.Read more",https://www.montverde.org,https://www.montverde.org/,montverde.org,
Orlando FL academy elementary school,39,organic,"Find the Best Elementary Schools in Orlando, FL - Winnie","The First Academy, located at 2667 Bruton Blvd in Orlando, FL, is a premier private Christian school serving students from preschool to ...Read more",https://winnie.com › ... › Florida › Orlando,https://winnie.com/orlando/elementary-schools,winnie.com,
Orange County FL K-8 school,21,organic,Audubon Park School - Home - Orange County Public Schools,"Have a great week! Principal Fritz. Audubon Park School K-8. jason.fritz@ocps.net. Audubon Park School Principal. UPCOMING EVENTS. 4/8: Track Meet at APS, 4: ...Read more",https://audubonparkk8.ocps.net,https://audubonparkk8.ocps.net/,audubonparkk8.ocps.net,
Orange County FL K-8 school,30,organic,"The School District of Osceola County, Florida - Home",High Schools · Middle Schools · Elementary Schools · K-8 Schools · Adult Education · Virtual Schools · Alternative Education · Special Education.Read more,https://www.osceolaschools.net,https://www.osceolaschools.net/,osceolaschools.net,
Orange County FL elementary school,23,organic,Elementary Schools,Elementary Schools · Anaheim Hills Elementary School · California iInspire Academy · Cambridge Elementary School · Canyon Rim Elementary School · Chapman Hills ...Read more,https://www.orangeusd.org › our-schools › elementary,https://www.orangeusd.org/our-schools/elementary,orangeusd.org,
Orlando FL academy elementary school,41,organic,"Daycare & Preschool in Orlando, FL 32810",We proudly serve the families of the Orlando/Altamonte Springs/Maitland/Apopka areas and service Riverside Elementary School. Our daycare provides an ...Read more,https://www.lapetite.com › your-local-school › orlando-f...,https://www.lapetite.com/your-local-school/orlando-fl-7496/,lapetite.com,
Orlando FL academy elementary school,42,organic,Welcome,"When my wife and I moved our family to Orlando several years ago, we found a great school in The First Academy. ... Orlando, FL 32805. Directions. Connect.Read more",https://thefirstacademy.org › About,https://thefirstacademy.org/about/welcome/,thefirstacademy.org,
Orlando FL academy elementary school,45,organic,OCPS Academic Center For Excellence - Home,"Address: 701 W Livingston Street, Orlando, FL 32805. Phone: 407-866-1280. Principal: Natasha Pender. Mascot: Lion. Colors: Purple & Gold. School Hours: 7:30 ...Read more",https://ocpsace.ocps.net,https://ocpsace.ocps.net/,ocpsace.ocps.net,
Orlando FL academy elementary school,46,organic,Search For Schools and Colleges - Department of Education,"Central Florida Leadership Academy Charter 427 N Primrose Dr, Orlando, FL 32803 (407) 480-2352 - Orange County. 6 - 12. Chain Of Lakes MiddleRead more",https://nces.ed.gov › globallocator › PrivSchool=1,https://nces.ed.gov/globallocator/index.asp?search=1&State=FL&city=Orlando&zipcode=&miles=&itemname=&sortby=name&School=1&PrivSchool=1&College=1&CS=8F34CFCD,nces.ed.gov,
Orange County FL lower school,41,organic,"Top Private Christian High School in Orlando, FL","Discover exceptional college prep, award-winning arts and athletics, and more at The First Academy. Rated a Best Christian High School in Orange County.",https://thefirstacademy.org › Academics,https://thefirstacademy.org/academics/upper/,thefirstacademy.org,
Orange County FL lower school,42,organic,Florida Private School Scholarships,Education is not one-size-fits-all. Explore private school scholarship options in Florida with Step Up For Students.,https://www.stepupforstudents.org › Scholarships,https://www.stepupforstudents.org/scholarships/private-school/,stepupforstudents.org,
Orange County FL lower school,44,organic,"Progressive Education in Orange County, FL","Welcome to The Crenshaw Academy, a progressive private school in Orange County, FL, dedicated to empowering students through alternative education methods ...Read more",https://thecrenshawacademy.com › progressive-education...,https://thecrenshawacademy.com/progressive-education-in-orange-county-fl-modern-student-centered-approach,thecrenshawacademy.com,
Orange County FL lower school,47,organic,"Orange County Public Schools, Florida, elections (2024)","Four seats on the Orange County Public Schools school board in Florida were up for primary election on August 20, 2024.Read more",https://ballotpedia.org › Orange_County_Public_Schools...,"https://ballotpedia.org/Orange_County_Public_Schools,_Florida,_elections_(2024)",ballotpedia.org,
Orange County FL lower school,49,organic,Roger Chapin - District 3 - City of Orlando,"... School Playground and Ballfields · City of Orlando Park Rules · Reserve ... Orange Avenue Orlando, Florida 32801 407.246.2121. Monday - Friday 8 a.m. to ...Read more",https://www.orlando.gov › Mayor-City-Council › Roge...,https://www.orlando.gov/Our-Government/Mayor-City-Council/Roger-Chapin,orlando.gov,
Orange County FL preparatory school elementary,32,organic,Private Elementary School Orlando | Central Florida Prep ...,"Private elementary school in Orlando for grades 1-5. Small classes, STEM, farm-to-table culinary arts, and performing arts at Central Florida Prep.",https://cfprep.org › Academics,https://cfprep.org/academics/elementary,cfprep.org,
Orange County FL preparatory school elementary,33,organic,Lovell Elementary - Home - Orange County Public Schools,"We empower students with a superior academic experience, essential life skills, and boundless opportunities.Read more",https://lovelles.ocps.net,https://lovelles.ocps.net/,lovelles.ocps.net,
Orange County FL preparatory school elementary,35,organic,Lake Mary Prep: Top-Rated Private School in Orlando (Lake ...,"Lake Mary Preparatory School was founded in 1999 and continues to be one of the top co-educational, private, international prep schools in Seminole County.Read more",https://www.lakemaryprep.com,https://www.lakemaryprep.com/,lakemaryprep.com,
Orange County FL montessori elementary,42,organic,montessorifl.com,Notice: Function _load_textdomain_just_in_time was called incorrectly. Translation loading for the simple-lightbox domain was triggered too early.Read more,https://www.montessorifl.com,https://www.montessorifl.com/,montessorifl.com,
Orange County FL montessori elementary,44,organic,Driving directions to Montessori School-Port Orange ...,"3749 S Nova Rd, Port Orange, FL 32129, USA. (386) 788-1088. People also search for. Directions to Montessori School-Port Orange, Port Orange ...Read more",https://www.waze.com › live-map › directions › fl › mo...,https://www.waze.com/live-map/directions/us/fl/port-orange/montessori-school-port-orange?to=place.ChIJp1fxaxPY5ogR9ssQbt9l3iU,waze.com,
Orange County FL montessori elementary,46,organic,Home - Lakeland Montessori Schoolhouse | Lakeland ...,"Lakeland Montessori Schools are approved Polk County Charter Schools serving children age three through eighth grade in Lakeland, FL.",https://lakelandmontessori.com,https://lakelandmontessori.com/,lakelandmontessori.com,
Orange County FL montessori elementary,47,organic,"Top 10 Montessori Schools in Orange, CA","We have 60 Montessori schools in Orange, CA! Compare and find the best Montessori school to fit your needs. ​. Start ...Read more",https://www.care.com › ... › Montessori Schools › CA,https://www.care.com/montessori-school/orange-ca,care.com,
Orange County FL montessori elementary,48,organic,Elementary School,It is not unusual in the Montessori classroom to observe students working independently on what in a traditional environment would be considered higher-level ...Read more,https://montessori-academy.org › Academics,https://montessori-academy.org/academics/elementary-school/,montessori-academy.org,
Orange County FL montessori elementary,49,organic,John E. Ford PreK-8 English/Spanish Montessori School,... FL 32209904-630-6540Hours: 8:30 AM - 3:00 PM. TDD/TTY: Dial 711 · FortifyFL ... Duval County Public Schools is an equal opportunity school district. DCPS ...Read more,https://www.duvalschools.org › johneford,https://www.duvalschools.org/johneford,duvalschools.org,
Orange County FL montessori elementary,50,organic,Royal Palm Montessori Academy | toddler preschool | 12532 ...,"Royal Palm is a Montessori Preschool located in West Boca Raton boasting huge, clean individual classrooms and a highly educated long term staff devoted to ...",https://www.rpmontessori.com,https://www.rpmontessori.com/,rpmontessori.com,
Orange County FL academy elementary school,31,organic,FLVS - Florida Virtual School | Grades K-12 Online,"We offer a wide variety of online courses for Kindergarten–12th grade that are tailored to student needs. With year-round, 24/7 access, students complete ...Read more",https://flvs.net,https://flvs.net/,flvs.net,
Orange County FL academy elementary school,33,organic,Orange Unified School District: Home,Board of Education Agendas · Staff Portal · Student/Parent Portal · MyOUSD Dashboard · Finalsite · Search · About Us · Explore OUSD · Calendars.Read more,https://www.orangeusd.org,https://www.orangeusd.org/,orangeusd.org,
Orange County FL academy elementary school,36,organic,Alpha Orange County | K-8 Private School in Lake Forest ...,"Experience Alpha School's AI-powered, personalized learning at the Lake Forest campus for K - 8th grades. Build real-world skills for your child's future.",https://alpha.school › orange-county,https://alpha.school/orange-county/,alpha.school,
Orange County FL academy elementary school,38,organic,Florida Department of Education Home,"Welcome to the Florida Department of Education's website. Every day we work hand in hand with parents, teachers, educators and community members.Read more",https://www.fldoe.org,https://www.fldoe.org/,fldoe.org,
Orange County FL academy elementary school,39,organic,Learning Program of Orange County,"Staffed with credentialed teachers supported by interns and volunteers, ASA I is for students in 3rd through 6th grade and ASA II is for students in 9th grade ...Read more",https://www.dsfoc.org › learning-program-orange-county,https://www.dsfoc.org/learning-program-orange-county/,dsfoc.org,
Orange County FL private school elementary,31,organic,Bridge to Independence Private School,"Discover the top private middle school programs at Bridge To Independence, Inc. offering personalized education and extracurricular activities.",https://btischool.com,https://btischool.com/,btischool.com,
Orange County FL private school elementary,32,organic,The Geneva School: Christian School in Orange County,"The Geneva School offers a distinctly classical Christian K-9 education, teaching all subjects from a Christian worldview.Read more",https://www.genevaschooloc.org,https://www.genevaschooloc.org/,genevaschooloc.org,
Orange County FL private school elementary,33,organic,Sage Hill School | Premier 7-12 Independent School in ...,"Sage Hill School offers a bright, motivated and diverse student body in grades 7-12 a unique journey of discovery.Read more",https://www.sagehillschool.org,https://www.sagehillschool.org/,sagehillschool.org,
Orange County FL private school elementary,34,organic,pcaknights.org - Home,"At Pinewood Christian Academy we prioritize academic excellence across all subjects, and teach literacy essentials and IEW! Looking for more specific ...Read more",https://www.pcaknights.org,https://www.pcaknights.org/,pcaknights.org,
Orange County FL private school elementary,38,organic,WISE Private School,"W.I.S.E Private School is located in Port Orange, Florida, in Volusia County, South of Daytona Beach. W.I.S.E Private School, chartered March 3, 1983, ...Read more",https://wiseprivateschool.org,https://wiseprivateschool.org/,wiseprivateschool.org,
Orange County FL private school elementary,39,organic,Seven Bridges School - Orange Park Florida - Seven Bridges ...,Why Seven Bridges School? Seven Bridges School is a unique-concept private school of students in grades K through 12.Read more,https://sevenbridgesschool.org,https://sevenbridgesschool.org/,sevenbridgesschool.org,
Orange County FL private school elementary,40,organic,Voted Best Single-campus private school in 2024 by ...,"Oakridge Private School, a Judeo Christian school in Orange County. Offering preschool TK-8 education with a focus on biblical values and academic ...",https://www.oakridgeschool.org,https://www.oakridgeschool.org/,oakridgeschool.org,
